code,station_name,opening_date,search_val,latitude,longitude
DT25,Mattar,21-Oct-17,MATTAR MRT STATION (DT25),1.32687671501334,103.883247509542
CC10  DT26,MacPherson,21-Oct-17,MACPHERSON MRT STATION (DT26),1.32615024457361,103.889298600376
DT27,Ubi,21-Oct-17,UBI MRT STATION (DT27),1.32997425973974,103.899226655439
DT28,Kaki Bukit,21-Oct-17,KAKI BUKIT MRT STATION (DT28),1.33496735995428,103.908459338046
DT29,Bedok North,21-Oct-17,BEDOK NORTH MRT STATION (DT29),1.33474211664091,103.91797832995
DT30,Bedok Reservoir,21-Oct-17,BEDOK RESERVOIR MRT STATION (DT30),1.33660782955099,103.932234623286
DT31,Tampines West,21-Oct-17,TAMPINES WEST MRT STATION (DT31),1.34551530560119,103.938436971222
EW2–DT32,Tampines,21-Oct-17,TAMPINES MRT STATION (DT32),1.35515041120473,103.943009883131
DT33,Tampines East,21-Oct-17,TAMPINES EAST MRT STATION (DT33),1.35619148271544,103.9546344625
DT34,Upper Changi,21-Oct-17,UPPER CHANGI MRT STATION (DT34),1.34173977444995,103.961472788634
CG1  DT35,Expo,21-Oct-17,EXPO MRT STATION (CG1),1.33454977824817,103.961548211018
TE1,Woodlands North,31-Jan-20,WOODLANDS NORTH MRT STATION (TE1),1.44829245259621,103.785692682441
NS9  TE2,Woodlands,31-Jan-20,WOODLANDS MRT STATION (TE2),1.43605761708128,103.787938777173
TE3,Woodlands South,31-Jan-20,WOODLANDS SOUTH MRT STATION (TE3),1.42739605281442,103.79326432221
TE4,Springleaf,28-Aug-21,SPRINGLEAF MRT STATION (TE4),1.39758106126824,103.817856949947
TE5,Lentor,28-Aug-21,LENTOR MRT STATION (TE5),1.38550657972169,103.835743809669
TE6,Mayflower,28-Aug-21,MAYFLOWER MRT STATION (TE6),1.37146318831015,103.836567766945
TE7,Bright Hill,28-Aug-21,BRIGHT HILL MRT STATION (TE7),1.36328318545185,103.832893619992
TE8,Upper Thomson,28-Aug-21,UPPER THOMSON MRT STATION (TE8),1.35441643365401,103.832898468504
CC17  TE9,Caldecott,28-Aug-21,CALDECOTT MRT STATION (TE9),1.33724561271722,103.840161782075
DT10  TE11,Stevens,13-Nov-22,STEVENS MRT STATION (DT10),1.32006555750626,103.826024401924
TE12,Napier,13-Nov-22,NAPIER MRT STATION (TE12),1.30678223364785,103.818956796815
TE13,Orchard Boulevard,13-Nov-22,ORCHARD BOULEVARD MRT STATION (TE13),1.30242224836722,103.823868523249
NS22  TE14,Orchard,13-Nov-22,ORCHARD MRT STATION (TE14),1.30304426265194,103.831375000068
TE15,Great World,13-Nov-22,GREAT WORLD MRT STATION (TE15),1.29394816169384,103.833720837731
TE16,Havelock,13-Nov-22,HAVELOCK MRT STATION (TE16),1.28850523975311,103.833585838226
EW16  NE3  TE17,Outram Park,13-Nov-22,OUTRAM PARK MRT STATION (NE3),1.27972059383553,103.839439862425
TE18,Maxwell,13-Nov-22,MAXWELL MRT STATION (TE18),1.28053329842878,103.843883670633
TE19,Shenton Way,13-Nov-22,SHENTON WAY MRT STATION (TE19),1.2777168283425,103.850367596067
NS27  CE2  TE20,Marina Bay,13-Nov-22,MARINA BAY MRT STATION (CE2),1.27625146423743,103.855447156279
TE22,Gardens by the Bay,13-Nov-22,GARDENS BY THE BAY MRT STATION (TE22),1.27848725876303,103.867454664421
