Alpha-numeric code(s),Station name,Opening
DT22,Jalan Besar,21-Oct-17
DT23,Bendemeer,21-Oct-17
DT24,Geylang Bahru,21-Oct-17
DT25,Mattar,21-Oct-17
CC10  DT26,MacPherson,21-Oct-17
DT27,Ubi,21-Oct-17
DT28,Kaki Bukit,21-Oct-17
DT29,Bedok North,21-Oct-17
DT30,Bedok Reservoir,21-Oct-17
DT31,Tampines West,21-Oct-17
EW2–DT32,Tampines,21-Oct-17
DT33,Tampines East,21-Oct-17
DT34,Upper Changi,21-Oct-17
CG1  DT35,Expo,21-Oct-17
TE1,Woodlands North,31-Jan-20
NS9  TE2,Woodlands,31-Jan-20
TE3,Woodlands South,31-Jan-20
TE4,Springleaf,28-Aug-21
TE5,Lentor,28-Aug-21
TE6,Mayflower,28-Aug-21
TE7,Bright Hill,28-Aug-21
TE8,Upper Thomson,28-Aug-21
CC17  TE9,Caldecott,28-Aug-21
DT10  TE11,Stevens,13-Nov-22
TE12,Napier,13-Nov-22
TE13,Orchard Boulevard,13-Nov-22
NS22  TE14,Orchard,13-Nov-22
TE15,Great World,13-Nov-22
TE16,Havelock,13-Nov-22
EW16  NE3  TE17,Outram Park,13-Nov-22
TE18,Maxwell,13-Nov-22
TE19,Shenton Way,13-Nov-22
NS27  CE2  TE20,Marina Bay,13-Nov-22
TE22,Gardens by the Bay,13-Nov-22
